Bias(mV),Speed,Chain length (A),Probability
325,1,04:06,0.32
325,1,06:08,0
325,1,08:10,0
325,2,00:02,82.2
325,2,02:04,16.72
325,2,04:06,0.86
325,2,06:08,0.11
325,2,08:10,0
325,3,00:02,86.16
325,3,02:04,13.63
325,3,04:06,0.11
325,3,06:08,0.11
325,3,08:10,0
325,4,00:02,76.74
325,4,02:04,22.52
325,4,04:06,0.61
325,4,06:08,0
325,4,08:10,0.12
325,5,00:02,68.29
325,5,02:04,27.83
325,5,04:06,2.55
325,5,06:08,0.71
325,5,08:10,0.1
350,1,00:02,87.31
350,1,02:04,12.69
350,1,04:06,0
350,1,06:08,0
350,1,08:10,0
350,2,00:02,80.62
350,2,02:04,18.96
350,2,04:06,0.42
350,2,06:08,0
350,2,08:10,0
350,3,00:02,80.59
350,3,02:04,18.19
350,3,04:06,1.09
350,3,06:08,0
350,3,08:10,0
350,4,00:02,73.93
350,4,02:04,25.15
350,4,04:06,0.81
350,4,06:08,0.1
350,4,08:10,0
350,5,00:02,63.23
350,5,02:04,31.35
350,5,04:06,4.89
350,5,06:08,0.41
350,5,08:10,0.1
375,1,00:02,85.27
375,1,02:04,13.99
375,1,04:06,0.44
375,1,06:08,0.14
375,1,08:10,0
375,2,00:02,81.37
375,2,02:04,18.2
375,2,04:06,0.42
375,2,06:08,0
375,2,08:10,0
375,3,00:02,72.3
375,3,02:04,25.35
375,3,04:06,1.91
375,3,06:08,0.11
375,3,08:10,0
375,4,00:02,70.77
375,4,02:04,26.12
375,4,04:06,2.65
375,4,06:08,0.35
375,4,08:10,0.11
375,5,00:02,86.99
375,5,02:04,12.28
375,5,04:06,0.72
375,5,06:08,0
375,5,08:10,0
400,1,00:02,77.38
400,1,02:04,21.8
400,1,04:06,0.81
400,1,06:08,0
400,1,08:10,0
400,2,00:02,81.7
400,2,02:04,17.76
400,2,04:06,0.54
400,2,06:08,0
400,2,08:10,0
400,3,00:02,65.33
400,3,02:04,30.66
400,3,04:06,3.9
400,3,06:08,0.1
400,3,08:10,0
400,4,00:02,80.75
400,4,02:04,18.22
400,4,04:06,1.02
400,4,06:08,0
400,4,08:10,0
400,5,00:02,82.65
400,5,02:04,16.05
400,5,04:06,1.1
400,5,06:08,0
400,5,08:10,0.18
425,1,00:02,87.27
425,1,02:04,10.75
425,1,04:06,1.56
425,1,06:08,0.28
425,1,08:10,0.14
425,2,00:02,58.36
425,2,02:04,31.84
425,2,04:06,5.86
425,2,06:08,1.7
425,2,08:10,0.85
425,3,00:02,75.45
425,3,02:04,20.14
425,3,04:06,3.39
425,3,06:08,0.68
425,3,08:10,0
